ASIN,标题,内容,内容评价-翻译,VP评论,Vine Voice评论,型号,星级,赞同数,图片数量,图片地址,是否有视频,视频地址,评论链接,评论人,头像地址,所属国家,评论人主页,红人计划链接,评论时间,解放双手场景的问题标签（跟解放双手相关）,产品问题标签,问题类型标签,使用场景标签,用户属性,情绪标签库,需求维度标签库
B00AAZU33E,"Flimsy, fragile, breaks easily.","It was good for a time, until it kept falling off the shower wall and slamming down on the tub and it snapped right in half. Cheap piece of plastic is not worth $30.",有一段时间用着还不错，直到它不停地从淋浴墙上掉下来，重重地摔在浴缸上，然后直接断成了两半。这种廉价的塑料制品不值30美元。,Y,,,1,0,,,,,https://www.amazon.com/gp/customer-reviews/R3FU3HPJJRH1W6/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Him,https://m.media-amazon.com/images/S/amazon-avatars-global/default.png,US,https://www.amazon.com/gp/profile/amzn1.account.AHMNZQULKFJVOQSXOCYZ6KF7O5PQ,,2026-02-24,"是否提到解放双手场景：是, 与解放双手相关的问题：吸附效果差","吸附不稳定（从墙面/表面脱落）, 产品质量差/易损坏, 产品易断裂/开裂, 材质廉价/塑料感强, 价格偏高/性价比低",体验型问题（使用后暴露）,"28.淋浴环境, 29.浴室瓷砖墙面, 36.潮湿使用环境","多次使用, 自用",非常不满,"安全性需求（材质安全、产品稳固）, 性价比需求（价格合理、物有所值）"
B00AAZU33E,Doesn't work,Suction cup is terrible,吸盘太糟糕了,Y,,,1,0,,,,,https://www.amazon.com/gp/customer-reviews/R12PQFSIQWIEQ1/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Alberto,https://m.media-amazon.com/images/S/amazon-avatars-global/default.png,US,https://www.amazon.com/gp/profile/amzn1.account.AGC5GIJMRVDJIA44BMDVDGXLZALA,,2026-01-28,"是否提到解放双手场景：是, 与解放双手相关的问题：吸附效果差",吸盘吸附力不足,体验型问题（使用后暴露）,无法判定（评价中未提及使用场景）,无法判定,非常不满,安全性需求（材质安全、产品稳固）
B00AAZU33E,Doesn't work,It has a strong grip for the base but it sadly doesn't work for the fleshlight I got. It doesn't screw correctly with the fleshlight so it ends falling.,它的底座抓力很强，但遗憾的是，它不适用于我买的飞机杯。它和飞机杯的螺纹不匹配，所以最终会掉下来。,Y,,,2,0,,,,,https://www.amazon.com/gp/customer-reviews/R2CAFCQ89ZTBVO/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,alex ernandes,https://m.media-amazon.com/images/S/amazon-avatars-global/default.png,US,https://www.amazon.com/gp/profile/amzn1.account.AGP65RWCC756EHHYPPSA7UNZKWRQ,,2026-01-14,"是否提到解放双手场景：是, 与解放双手相关的问题：螺纹不匹配，容易掉下来","与飞机杯/配件不兼容, 螺纹/接口不匹配",体验型问题（使用后暴露）,无法判定（评价中未提及使用场景）,自用,不满/负向,适配性需求（与配件匹配）
B00AAZU33E,Find another mount to use.,"Believe the negative comments on this product. Just received mine today and it can't even last 2 seconds in a shower. Can't even stick up against basic concrete wall or wood.
Only been able to let it stick without falling off on the sliding glass door, bathroom mirror and another smooth plastic surface.
Save your money with another mount that is universal to all Fleshlights with stronger suction support.","相信关于这个产品的负面评论。我今天刚收到，它在淋浴时甚至撑不过2秒。它甚至不能粘在普通的混凝土墙或木头上。
只有在滑动玻璃门、浴室镜子和另一个光滑的塑料表面上，它才能粘住不掉下来。
省省你的钱，买另一个适用于所有Fleshlights且吸力更强的通用支架吧。",Y,,,2,1,,,Y,https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-us-east-1-prod/4f09a0c1-c34f-44dc-991a-f56f78c55415/default.vertical.jobtemplate.mp4.480.mp4,https://www.amazon.com/gp/customer-reviews/R134YFCFK0RWKO/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Jonathan Worthy,https://m.media-amazon.com/images/S/amazon-avatars-global/default.png,US,https://www.amazon.com/gp/profile/amzn1.account.AFTWAE2TR72APADZPU2EXEXY4PMA,,2025-12-02,"是否提到解放双手场景：是, 与解放双手相关的问题：吸附效果差","吸附不稳定（从墙面/表面脱落）, 仅适用于光滑表面, 不适用于粗糙/多孔表面",体验型问题（使用后暴露）,"28.淋浴环境, 34.光滑硬质平面, 36.潮湿使用环境, 30.浴室玻璃/镜面, 31.淋浴隔断/玻璃门, 32.粗糙墙面（混凝土/砖墙）, 33.木质表面","首次使用, 自用",非常不满,"安全性需求（材质安全、产品稳固）, 性价比需求（价格合理、物有所值）"
B00AAZU33E,Poor - Do Not Buy,Broke on 2nd use. Poor quality. Also did not fit well with recommended fleshlight.,第二次使用就坏了。质量很差。而且与推荐的飞机杯也不太适配。,Y,,,1,0,,,,,https://www.amazon.com/gp/customer-reviews/R2RB3F78V1K404/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,NC Customer,https://m.media-amazon.com/images/S/amazon-avatars-global/default.png,US,https://www.amazon.com/gp/profile/amzn1.account.AHKSP4DYTWWRC53UZFEQPOA2IGGA,,2025-09-12,"是否提到解放双手场景：否, 与解放双手相关的问题：无","产品质量差/易损坏, 与飞机杯/配件不兼容",体验型问题（使用后暴露）,无法判定（评价中未提及使用场景）,多次使用,非常不满,"适配性需求（与配件匹配）, 性价比需求（价格合理、物有所值）"
B00AAZU33E,"A scam, they don’t include the adapter mount for all flights","Awful marketing scam. They expect you to know to buy the adapter for the mount but don’t offer it on Amazon all in the same breath.
They should just include it in the mount … now I can’t use it for intended purposes. I now have to go spend more money, on their actual website if I want it? Why offer in the first place?",糟糕的营销骗局。他们指望你知道要为支架购买适配器，却又不在亚马逊上同时提供。他们应该直接把适配器包含在支架里……现在我无法按预期用途使用它了。如果我想要的话，现在还得去他们的官方网站花更多钱？那当初为什么要提供呢？,Y,,,1,0,,,,,https://www.amazon.com/gp/customer-reviews/R1X8R07WZJ4FX2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Evangeline,https://m.media-amazon.com/images/S/amazon-avatars-global/edcb2d7c-26ea-435f-a406-c81a73e0c171._CR73%2C0%2C354%2C354_SX460_.jpg,US,https://www.amazon.com/gp/profile/amzn1.account.AEUMKLDB22Y6C5PCFGARMQKSCMSA,,2025-07-02,"是否提到解放双手场景：否, 与解放双手相关的问题：无",配件/适配器缺失需另购,预期型问题（使用前可预知）,无法判定（评价中未提及使用场景）,无法判定,非常不满,"适配性需求（与配件匹配）, 信息透明需求（产品信息完整、说明清晰）, 性价比需求（价格合理、物有所值）"
B00AAZU33E,Doesn't stick on tile.,Doesn't stick on tile in shower.  Not heavy duty enough.,在淋浴间的瓷砖上粘不住。不够耐用。,Y,,,2,1,,,,,https://www.amazon.com/gp/customer-reviews/R19K3WJ12UHQN3/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,A.T.,https://m.media-amazon.com/images/S/amazon-avatars-global/default.png,US,https://www.amazon.com/gp/profile/amzn1.account.AF7SK32F7TMIS6PUVJNXJZ27XE2Q,,2025-04-08,"是否提到解放双手场景：是, 与解放双手相关的问题：吸附效果差","吸附不稳定（从墙面/表面脱落）, 产品质量差/易损坏",体验型问题（使用后暴露）,"28.淋浴环境, 29.浴室瓷砖墙面, 36.潮湿使用环境",无法判定,不满/负向,安全性需求（材质安全、产品稳固）
B00AAZU33E,Too Fragile for use,Don’t waste your money. I’ve bought three of these pos things and they all broke after first or second use. They are so fragile. They should try making them out of paper next; it may be more durable.,别浪费钱了。我买了三个这种破烂玩意儿，用了一两次就全坏了。它们太脆弱了。下次他们应该试着用纸做，可能会更耐用。,Y,,,1,1,,,,,https://www.amazon.com/gp/customer-reviews/R2394O5PQECBZK/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Raymond Hladik,https://m.media-amazon.com/images/S/amazon-avatars-global/default.png,US,https://www.amazon.com/gp/profile/amzn1.account.AHDEFJMKR5MZXCQWKAUHDMIWUTLQ,,2025-02-20,"是否提到解放双手场景：否, 与解放双手相关的问题：无",产品质量差/易损坏,体验型问题（使用后暴露）,无法判定（评价中未提及使用场景）,"多次使用, 自用",非常不满,性价比需求（价格合理、物有所值）
B00AAZU33E,Weak Suction,"The product was advertised to be able to hold the Fleshlight to the wall or any other surface.  I tried several surfaces including clean tile......  however, the suction cup was far from strong enough to do so, it only held for a few seconds before crashing to the floor.  The idea is there but the product needs to be revamped with a stronger suction in order to perform as it is supposed to.  Waste of money in my opinion.",该产品被宣传为能够将Fleshlight固定在墙上或任何其他表面。我尝试了包括干净瓷砖在内的多种表面……然而，吸盘的吸力远远不够，只能固定几秒钟就掉到了地上。想法是好的，但该产品需要改进，配备更强的吸力才能达到预期的使用效果。在我看来，这是浪费钱。,Y,,,1,1,,,,,https://www.amazon.com/gp/customer-reviews/RQV80063JBJMW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Ray1671,https://m.media-amazon.com/images/S/amazon-avatars-global/default.png,US,https://www.amazon.com/gp/profile/amzn1.account.AEYV4TH2WL5TBKDJ2EYV76QC5HZQ,,2025-01-15,"是否提到解放双手场景：是, 与解放双手相关的问题：吸附效果差","吸附不稳定（从墙面/表面脱落）, 吸盘吸附力不足, 价格偏高/性价比低",体验型问题（使用后暴露）,"29.浴室瓷砖墙面, 34.光滑硬质平面","自用, 无法判定",非常不满,"安全性需求（材质安全、产品稳固）, 性价比需求（价格合理、物有所值）"
B00AAZU33E,Broke after lite use.,"Worked great the first couple times. Exactly as expected, then on day I go to set it up and it fell into two pieces. The plastic piece imbedded into the suction cup completely ripped apart rendering it completely useless. And it's but a return eligible item. Highly disappointed.",前几次使用效果很好，完全符合预期。然后有一天我去安装它时，它裂成了两半。嵌入吸盘的塑料部件完全撕裂，导致它彻底无法使用。而且它还不是一件可以退货的商品。非常失望。,Y,,,1,0,,,,,https://www.amazon.com/gp/customer-reviews/R2MB3M52V1ODX9/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,That one guy,https://m.media-amazon.com/images/S/amazon-avatars-global/default.png,US,https://www.amazon.com/gp/profile/amzn1.account.AHQIRHJ6M5KBTVBDCL55K3ZZ7JCA,,2025-01-07,"是否提到解放双手场景：是, 与解放双手相关的问题：吸附效果差","产品质量差/易损坏, 产品易断裂/开裂, 退货流程困难",体验型问题（使用后暴露）,无法判定（评价中未提及使用场景）,"多次使用, 自用",非常不满,"安全性需求（材质安全、产品稳固）, 售后保障需求（退换货便捷、客服响应）"
